Rule 3:
If mother ?a, then successor ?b.

Formal Rule:
Head: ?a  successor  ?b
Body: ?b  mother  ?a

Real Instances from Knowledge Graph (408 found):

Dangereuse de l Isle Bouchard, A nor de Ch tellerault has mother Dangereuse de l Isle Bouchard. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gertrude of Saxony, Bertha of Holland has mother Gertrude of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth Mure, Robert III of Scotland has mother Elizabeth Mure. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Elisabeth of Austria Queen of France has mother Maria of Austria Holy Roman Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan of Geneva, Humbert II Count of Savoy has mother Joan of Geneva. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Hesse has mother Christine of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maud of Apulia, Ramon Berenguer III Count of Barcelona has mother Maud of Apulia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Luisa of Spain has mother Maria Amalia of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Ferdinand I of the Two Sicilies has mother Maria Amalia of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of France, Edward III of England has mother Isabella of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Countess of Harcourt, Frederick II Count of Vaud mont has mother Marie Countess of Harcourt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Judith of Bavaria died 843, Charles the Bald has mother Judith of Bavaria died 843. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Richende De Bourges, Theobald I Count of Blois has mother Richende De Bourges. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Louis Duke of Orl ans 1703 1752 has mother Fran oise Marie de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Charlotte Agla  d Orl ans has mother Fran oise Marie de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine of Vend me, Charlotte of Bourbon Queen of Cyprus has mother Catherine of Vend me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505, Barbara Jagiellon has mother Elizabeth of Austria 1436 1505. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford, Mary de Bohun has mother Joan Fitzalan Countess of Hereford. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Waldrada of Worms, Adelaide of Auxerre born c. 870 has mother Waldrada of Worms. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Waldrada of Worms, Rudolph I of Burgundy has mother Waldrada of Worms. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Osburh, Alfred the Great has mother Osburh. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Bertha daughter of Lothair II, Hugh of Italy has mother Bertha daughter of Lothair II. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Alice of Vergy, Hugh IV Duke of Burgundy has mother Alice of Vergy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Maurienne, Philip of France 1116 1131 has mother Adelaide of Maurienne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adelaide of Maurienne, Robert I Count of Dreux has mother Adelaide of Maurienne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Castile 1242 1303, Denis of Portugal has mother Beatrice of Castile 1242 1303. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eadgifu of Wessex, Louis IV of France has mother Eadgifu of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Antoinette, Marie Th r se of France has mother Marie Antoinette. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Antoinette, Louis XVII has mother Marie Antoinette. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Castile, Edward II of England has mother Eleanor of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Auguste of Bade Baden, Louis Philippe I Duke of Orl ans has mother Auguste of Bade Baden. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Bar, Henry VI Count of Luxembourg has mother Margaret of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maud Chaworth, Eleanor of Lancaster has mother Maud Chaworth. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Matilda of Ringelheim, Gerberga of Saxony has mother Matilda of Ringelheim. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne Marie d Orl ans, Charles Emmanuel III of Sardinia has mother Anne Marie d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne Marie d Orl ans, Marie Ad la de of Savoy has mother Anne Marie d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anna Eleonore of Hesse Darmstadt, Ernest Augustus Elector of Hanover has mother Anna Eleonore of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Savoy, Margaret of Provence has mother Beatrice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Savoy, Eleanor of Provence has mother Beatrice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Cyprus, Margaret of Savoy Countess of Saint Pol has mother Anne of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Cyprus, Charlotte of Savoy has mother Anne of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Cyprus, Philip II Duke of Savoy has mother Anne of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus, Anne of Cyprus has mother Charlotte of Bourbon Queen of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria of Swabia, Henry III Duke of Brabant has mother Maria of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria of Swabia, Matilda of Brabant Countess of Artois has mother Maria of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
 lisabeth Charlotte d Orl ans, Francis I Holy Roman Emperor has mother  lisabeth Charlotte d Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Burgundy Lady of Bourbon, Louis I Duke of Bourbon has mother Beatrice of Burgundy Lady of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830, Princess Caroline Louise of Saxe Weimar Eisenach has mother Princess Louise of Hesse Darmstadt 1757 1830. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Estrid of the Obotrites, Ingegerd Olofsdotter of Sweden has mother Estrid of the Obotrites. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, George III has mother Princess Augusta of Saxe Gotha. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Aragon Queen of Portugal, Afonso V of Portugal has mother Eleanor of Aragon Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Aragon Queen of Portugal, Ferdinand Duke of Viseu has mother Eleanor of Aragon Queen of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Clarice Orsini, Piero the Unfortunate has mother Clarice Orsini. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Marie Louise Duchess of Parma has mother Maria Theresa of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella I of Castile, Maria of Aragon Queen of Portugal has mother Isabella I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie de Medici, Elisabeth of France 1602 1644 has mother Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie de Medici, Henrietta Maria has mother Marie de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Juana Manuel, John I of Castile has mother Juana Manuel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Urraca of Portugal, Alfonso IX of Le n has mother Urraca of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adela of Milan, Albert Azzo II Margrave of Milan has mother Adela of Milan. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Avesnes, Peter I Duke of Bourbon has mother Mary of Avesnes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mary of Avesnes, James I Count of La Marche has mother Mary of Avesnes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Mar a de Molina, Ferdinand IV of Castile has mother Mar a de Molina. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Louis XVI has mother Maria Josepha of Saxony Dauphine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Charles X has mother Maria Josepha of Saxony Dauphine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Louis XVIII has mother Maria Josepha of Saxony Dauphine of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Luisa of Spain, Francis II Holy Roman Emperor has mother Maria Luisa of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Claude of France 1547 1575, Francis II Duke of Lorraine has mother Claude of France 1547 1575. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret Boswell, Matthew Stewart 2nd Earl of Lennox has mother Margaret Boswell. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Valois Duchess of Berry, Charles Emmanuel I Duke of Savoy has mother Margaret of Valois Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Brittany has successor Claude of France, Claude of France has mother Anne of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Constance of Castile, Alys of France Countess of Vexin has mother Constance of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Constance of Arles, Hugh Magnus has mother Constance of Arles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Constance of Arles, Robert I Duke of Burgundy has mother Constance of Arles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Sophia Eleonore of Saxony has mother Magdalene Sibylle of Prussia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Theresa of Naples and Sicily has mother Maria Carolina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Amalia of Naples and Sicily has mother Maria Carolina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Austria, Philippe I Duke of Orl ans has mother Anne of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has mother Sophia of Saxe Weissenfels Princess of Anhalt Zerbst. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine of Foix Countess of Candale, Anne of Foix Candale has mother Catherine of Foix Countess of Candale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Christine of Hesse, Anna of Holstei Gottorp has mother Christine of Hesse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Wierzchoslawa Ludmilla of Greater Poland, Frederick II Duke of Lorraine has mother Wierzchoslawa Ludmilla of Greater Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Maria Theresa of Savoy has mother Maria Antonia Ferdinanda of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gisela of Burgundy Marchioness of Montferrat, Adelaide of Maurienne has mother Gisela of Burgundy Marchioness of Montferrat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Portugal Duchess of Savoy, Emmanuel Philibert Duke of Savoy has mother Beatrice of Portugal Duchess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Claude Fran oise de Lorraine, Charles V Duke of Lorraine has mother Claude Fran oise de Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Lancaster, Alice Holland Countess of Kent has mother Eleanor of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan I of Navarre, Charles IV of France has mother Joan I of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan I of Navarre, Isabella of France has mother Joan I of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Margaret of the Palatinate has mother Elisabeth of Nuremberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Ad la de of Savoy, Louis XV has mother Marie Ad la de of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
